window_id,start_utc,source,step,bx,by,bz,bt,density,speed,temperature
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,29,0.2089549,0.9255895,0.252531,-0.519555,-0.78509,0.6309171,-0.2123468
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,30,0.2856059,0.920275,0.1966485,-0.5174348,-0.78509,0.6309171,-0.2125778
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,31,0.3193324,0.9176177,0.1604892,-0.5158857,-0.9098891,0.6589039,-0.2445345
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,32,0.3009361,0.9176177,0.1604892,-0.5220151,-0.9098891,0.6589039,-0.2446771
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,33,0.3040022,0.920275,0.1604892,-0.5176437,-0.8461742,0.6449326,-0.2936514
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,34,0.2702757,0.9282467,0.1637764,-0.5174056,-0.8461742,0.6449326,-0.2936763
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,35,0.2549455,0.9255895,0.1440531,-0.5280511,-0.8805872,0.5867123,-0.2936763
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,36,0.2028228,0.9229322,0.2130845,-0.532925,-0.8805872,0.5867123,-0.2936763
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,37,0.141502,0.9069887,0.3084136,-0.5418717,-0.8015008,0.5923801,-0.1571457
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,38,0.01886037,0.8751015,0.4201787,-0.5557136,-0.7581367,0.5904917,-0.07052935
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,39,0.1629643,0.9016741,0.2985519,-0.5477385,-0.6700028,0.5810373,0.09260034
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,40,0.1782945,0.9176177,0.2295206,-0.5415548,-0.7316656,0.6046355,-0.04005886
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,41,0.2058889,0.9255895,0.1078938,-0.5449109,-0.7316656,0.6055768,-0.04373614
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,42,0.294804,0.941533,-0.07290269,-0.5040783,-0.7796599,0.6281087,-0.173098
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,43,0.2978701,0.9468476,-0.09262594,-0.4949671,-0.7796599,0.6281087,-0.173098
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,44,0.3346626,0.9335613,-0.04331781,-0.5023048,-0.7796599,0.6281087,-0.173098
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,45,0.1752285,0.930904,0.1309043,-0.541842,-0.8236689,0.6309171,-0.2285609
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,46,0.2580116,0.9521621,-0.06304106,-0.5017286,-0.8236689,0.6309171,-0.2285609
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,47,0.08018119,0.8883878,0.3117008,-0.5726794,-0.7796599,0.5620677,-0.04850449
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,48,-0.01793212,0.8511862,0.5418054,-0.5307582,-0.7742497,0.5573125,-0.0363539
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,49,-0.05779065,0.869787,0.5023589,-0.5263474,-0.7742497,0.5573125,-0.0363539
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,50,-0.07312086,0.869787,0.4957845,-0.5285068,-0.7960103,0.5210057,-0.1189419
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,51,-0.06392273,0.9335613,0.2722543,-0.5283843,-0.79054,0.5296316,-0.1268618
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,52,0.1537662,0.9123032,0.3478601,-0.5210646,-0.7369221,0.6149791,-0.2046126
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,53,0.08324723,0.9282467,0.3511473,-0.5092973,-0.7369221,0.6149791,-0.2046126
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,54,0.07098306,0.9654484,0.2591054,-0.4880121,-0.7160073,0.5819836,-0.1342765
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,55,0.0587189,0.9813919,0.1506275,-0.4882639,-0.7160073,0.5819836,-0.1342549
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,56,0.1752285,0.9654484,0.01913917,-0.504771,-0.7056598,0.6131002,-0.1113094
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,57,0.2518795,0.9521621,-0.2438376,-0.4800774,-0.7056598,0.6131002,-0.1113094
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,58,0.2304172,0.9574766,-0.2175399,-0.4838754,-0.7960103,0.6177958,-0.1574758
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,59,0.3101342,0.941533,-0.1682318,-0.4896047,-0.7960103,0.6177958,-0.1574758
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,0,-1.091046,-1.949565,0.8705263,1.224343,-0.1005486,3.015529,1.086312
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,1,-0.7016592,-2.095715,0.7587612,1.210563,-0.1005486,3.015529,1.086312
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,2,-1.465103,-1.256021,0.6404217,0.6611454,-0.1005486,3.015529,1.086312
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,3,-2.004727,1.023908,0.2919775,0.8888841,-0.2292988,3.059546,1.292471
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,4,-1.320999,1.704167,0.1177554,0.926326,-0.2292988,3.059546,1.292471
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,5,-1.612273,1.547388,0.2393822,0.9766299,-0.2292988,3.059546,1.292471
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,6,-1.682792,1.97255,-0.1419341,1.460648,-0.2292988,3.059546,1.292471
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,7,-1.912745,1.938005,0.08488335,1.58785,-0.3785722,3.109551,0.9232278
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,8,-1.805434,2.009751,-0.03345618,1.582755,-0.3785722,3.109551,0.9232278
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,9,-1.869821,1.996465,-0.01702013,1.614931,-0.3785722,3.109551,0.9232278
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,10,-1.95567,1.969892,0.2065101,1.658787,-0.412013,3.128757,0.7318169
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,11,-2.099774,1.767941,0.2821159,1.582241,-0.412013,3.128757,0.7318169
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,12,-2.059915,1.813114,0.3971682,1.605893,-0.362131,3.149999,0.8678654
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,13,-2.112038,1.871574,0.4366147,1.708788,-0.3499189,3.154236,0.9031484
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,14,-2.391048,1.746683,0.2788287,1.81155,-0.3785722,3.121831,0.8397824
